para,coef,ft,low,median,high
beta,Intercept,Alder / maple,405.61075070291673,513.4104666973542,697.1491071305018
beta,Intercept,Aspen / birch,170.267616387318,184.16475571838657,199.35668977864958
beta,Intercept,California mixed conifer,434.24997271349133,511.3946042290006,611.2436550515306
beta,Intercept,Douglas-fir,391.6528660127919,406.34664478420643,421.62562146252014
beta,Intercept,Elm / ash / cottonwood,343.45768733804135,463.0155075420952,680.2693977461129
beta,Intercept,Fir / spruce / mountain hemlock,317.69359104878987,341.34974377430734,370.02195068748006
beta,Intercept,Hemlock / Sitka spruce,518.9475284789885,558.9386951779176,603.8602647461345
beta,Intercept,Loblolly / shortleaf pine,237.16656109295337,248.68397709002863,260.70105370204425
beta,Intercept,Lodgepole pine,170.11253939983038,183.8000666280452,200.75886795475913
beta,Intercept,Longleaf / slash pine,148.85713054758287,164.69023657505687,184.41273902340507
beta,Intercept,Maple / beech / birch,395.1484041201446,431.7099613011933,475.417894260646
beta,Intercept,Oak / gum / cypress,473.82724023175354,620.764520125392,925.1516958547624
beta,Intercept,Oak / hickory,258.04514123121817,270.0734862881343,283.4317383717235
beta,Intercept,Oak / pine,215.11983840447473,236.239632635396,263.03249539536745
beta,Intercept,Pinyon / juniper,61.476332178563474,66.4443543942812,72.04934561800584
beta,Intercept,Ponderosa pine,139.2307185205821,152.8308883456616,168.89482391110963
beta,Intercept,Redwood,904.8111853018569,981.7841886537333,999.3519715566038
beta,Intercept,Spruce / fir,107.07061324537806,112.36297433388904,118.0794832440368
beta,Intercept,Tanoak / laurel,464.2628356787884,558.8030528761803,688.015961465258
beta,Intercept,Western larch,255.8270130703067,321.6159380680077,436.20949645240046
beta,Intercept,Western oak,232.92073951102392,306.71155059435114,448.56320116381795
beta,Intercept,White / red / jack pine,383.5614473517777,473.80240254098464,610.5640957026634
beta,Intercept,Woodland hardwoods,29.874213233099425,32.794762521039615,36.07165265924818
beta,Precipitation,Alder / maple,0.05673754410500421,0.19973818109374092,0.38299159995293
beta,Precipitation,Aspen / birch,-0.04925332485408513,-0.022584892958178428,0.00759070938811091
beta,Precipitation,California mixed conifer,0.14317211549618203,0.25903520507496575,0.3993862304099727
beta,Precipitation,Douglas-fir,0.34404506379414923,0.36525985822650353,0.3871064257927443
beta,Precipitation,Elm / ash / cottonwood,-0.0841679580493867,0.06427810151688401,0.22116154366619978
beta,Precipitation,Fir / spruce / mountain hemlock,0.17671816921295544,0.2082680287423156,0.24235571528757693
beta,Precipitation,Hemlock / Sitka spruce,0.00217637531432343,0.0411330977514828,0.08027215041453589
beta,Precipitation,Loblolly / shortleaf pine,-0.0842018376903711,-0.024324218261357108,0.040072748159648765
beta,Precipitation,Lodgepole pine,0.023170078853829282,0.08977536743469504,0.16321083879438847
beta,Precipitation,Longleaf / slash pine,-0.21952904967895567,-0.11529582291945008,-0.012586531864798701
beta,Precipitation,Maple / beech / birch,0.17705203936688,0.3549873349288234,0.5371268948271759
beta,Precipitation,Oak / gum / cypress,-0.9346088670475569,-0.1878976297854896,1.3753792633777104
beta,Precipitation,Oak / hickory,0.30653079652180015,0.33359017716990474,0.36344783060520264
beta,Precipitation,Oak / pine,0.1260083737884682,0.2605745869119284,0.39231412146474254
beta,Precipitation,Pinyon / juniper,0.09649799860353853,0.1121375194295063,0.13018725836255168
beta,Precipitation,Ponderosa pine,0.24435722576223753,0.29066575419022833,0.34479750143727084
beta,Precipitation,Redwood,0.83149002481780665,1.5776416739660273,2.4464321052490847
beta,Precipitation,Spruce / fir,-0.021892923059472668,-0.012390302888212069,-0.0026716447316726282
beta,Precipitation,Tanoak / laurel,-0.03629120981224773,0.08702085539739396,0.21033511233576238
beta,Precipitation,Western larch,-0.030144949890162514,0.17850469695729135,0.47900018373676306
beta,Precipitation,Western oak,0.24343238797397007,0.3499119434878084,0.5214968996189299
beta,Precipitation,White / red / jack pine,-0.6082551819368236,-0.4331773398255154,-0.2949956308333892
beta,Precipitation,Woodland hardwoods,0.07046040137493921,0.0829340563553933,0.09681241853794606
beta,Temperature,Alder / maple,-37.4604437960921,22.967159163502306,66.51497673543419
beta,Temperature,Aspen / birch,13.556769449721461,17.979982414468434,22.375632626910658
beta,Temperature,California mixed conifer,1.7006485340744346,18.01845580697924,37.14370789790051
beta,Temperature,Douglas-fir,14.097063480384078,17.762661965900286,21.63183062440084
beta,Temperature,Elm / ash / cottonwood,17.806270718538585,33.382128703767755,55.487214991523324
beta,Temperature,Fir / spruce / mountain hemlock,12.480333702873668,17.773431429485534,23.49427885569303
beta,Temperature,Hemlock / Sitka spruce,-22.845620868187144,-5.859735449528649,12.49238757757258
beta,Temperature,Loblolly / shortleaf pine,18.556006988665462,22.077902050559928,25.29651612846666
beta,Temperature,Lodgepole pine,-0.3280632467564314,6.88302827616306,14.213799737399148
beta,Temperature,Longleaf / slash pine,-29.150808347063336,-20.66679998069517,-11.106253574114538
beta,Temperature,Maple / beech / birch,-6.91119218372808,4.426739722424284,17.541345154627557
beta,Temperature,Oak / gum / cypress,-111.79004699558585,-67.39141406744285,-31.72188407001533
beta,Temperature,Oak / hickory,-12.671218493422828,-10.998905613169688,-9.4995394032862
beta,Temperature,Oak / pine,-11.386540902283143,-5.486672213685516,1.2550812030083447
beta,Temperature,Pinyon / juniper,-7.676927452694348,-6.855443622033028,-6.101984987560851
beta,Temperature,Ponderosa pine,-13.104656883175064,-9.349096458643963,-4.560677883168042
beta,Temperature,Redwood,-71.05162943880077,150.94966777373182,449.94470595510467
beta,Temperature,Spruce / fir,10.70415862606653,12.325536141927289,14.072829285222275
beta,Temperature,Tanoak / laurel,14.046315742572244,70.19679687466726,122.11319124614339
beta,Temperature,Western larch,-81.41701620333603,-21.239155285558674,35.89192088667016
beta,Temperature,Western oak,-20.163417835884225,-2.7341154396187166,12.94504918765455
beta,Temperature,White / red / jack pine,64.7723079747741,81.8960075848012,106.4558016515663
beta,Temperature,Woodland hardwoods,-1.6589094502787285,-1.3706294446809968,-1.0690967930600064
gamma,Intercept,Alder / maple,45.888025594308,72.95516936506448,121.98463528680996
gamma,Intercept,Aspen / birch,56.109830480373326,66.23321345650726,77.73309033576615
gamma,Intercept,California mixed conifer,113.08174282013572,159.27850493056582,221.6415604711103
gamma,Intercept,Douglas-fir,62.36458211509546,69.26284829019467,76.97777376202036
gamma,Intercept,Elm / ash / cottonwood,139.66010148788214,208.49417623149986,338.7656887226556
gamma,Intercept,Fir / spruce / mountain hemlock,136.86578764950073,158.44663247319863,185.074390755636
gamma,Intercept,Hemlock / Sitka spruce,57.15325970747733,72.67214364349547,91.35542313610802
gamma,Intercept,Loblolly / shortleaf pine,30.77591384278214,33.84729934373671,37.26015497889866
gamma,Intercept,Lodgepole pine,63.426176292166765,76.10446451226736,92.42110961752468
gamma,Intercept,Longleaf / slash pine,18.13878804840754,23.818843125079006,31.27702448360692
gamma,Intercept,Maple / beech / birch,130.1423434546386,149.62691376188053,173.29672396591948
gamma,Intercept,Oak / gum / cypress,127.24603587847588,187.26487187843833,314.16071125156407
gamma,Intercept,Oak / hickory,65.32528193632389,71.42462358442519,78.32111145094238
gamma,Intercept,Oak / pine,45.542825006194576,55.176228294329896,67.67266073500106
gamma,Intercept,Pinyon / juniper,197.0034264399914,224.69608331995195,256.04473933921713
gamma,Intercept,Ponderosa pine,63.693956270392036,79.71132687836453,99.31335470879182
gamma,Intercept,Redwood,57.68448181126832,86.96314720258434,127.28865703967527
gamma,Intercept,Spruce / fir,22.621020890577853,27.623788381552828,33.231056091537916
gamma,Intercept,Tanoak / laurel,52.33974835088828,78.95679843933578,119.7406073590411
gamma,Intercept,Western larch,62.08242793348781,104.43146735399006,183.2523318673809
gamma,Intercept,Western oak,68.44284056225291,120.63982057522395,226.47864049315137
gamma,Intercept,White / red / jack pine,183.51180894999905,248.06408745446788,348.9489026979617
gamma,Intercept,Woodland hardwoods,39.37757631458253,48.39970701503145,58.67641341654538
gamma,Precipitation,Alder / maple,-7.092201375482219e-4,0.03484157959138212,0.07998799921302645
gamma,Precipitation,Aspen / birch,-0.07112361705470191,-0.056025764821923445,-0.03655330357113721
gamma,Precipitation,California mixed conifer,0.008629289607047902,0.062296481809675355,0.1325481532162542
gamma,Precipitation,Douglas-fir,0.040613458861413425,0.04699681727499274,0.05322594909632238
gamma,Precipitation,Elm / ash / cottonwood,-0.19034811412635852,-0.08013014163655434,0.012135621461150688
gamma,Precipitation,Fir / spruce / mountain hemlock,0.02640684413400463,0.04359787236398395,0.062812628625279
gamma,Precipitation,Hemlock / Sitka spruce,-0.017411935648791184,-0.005764581501892457,0.005913659904918439
gamma,Precipitation,Loblolly / shortleaf pine,-0.025435239612947705,-0.008264007006817994,0.010667826895467667
gamma,Precipitation,Lodgepole pine,-0.005110252950653185,0.04762858104512608,0.11072827585072743
gamma,Precipitation,Longleaf / slash pine,-0.0638412886534093,-0.025598843434969584,0.014599230829019875
gamma,Precipitation,Maple / beech / birch,0.03356008891868362,0.12898215073912242,0.22462950055928163
gamma,Precipitation,Oak / gum / cypress,-0.37549467226044947,-0.06733146712296686,0.5005221598971415
gamma,Precipitation,Oak / hickory,0.03494432381198496,0.04681861216895219,0.059046978063547466
gamma,Precipitation,Oak / pine,-0.0015478636032712943,0.062223921207815086,0.12146255545060645
gamma,Precipitation,Pinyon / juniper,-0.28079994121730195,-0.22110349541912894,-0.16453343155461878
gamma,Precipitation,Ponderosa pine,0.08711333072375872,0.12305216249146031,0.16630113838086114
gamma,Precipitation,Redwood,0.04604796658341638,0.1993544616707469,0.4230807757911346
gamma,Precipitation,Spruce / fir,-0.030807259580355434,-0.026104328947744195,-0.02076754913748444
gamma,Precipitation,Tanoak / laurel,-0.03479575182679572,0.0033241257248643576,0.041584272280341415
gamma,Precipitation,Western larch,-0.11630279208873809,0.004434491863776158,0.1627301661535211
gamma,Precipitation,Western oak,0.036305118753884,0.09085251320105103,0.16471690242726839
gamma,Precipitation,White / red / jack pine,-0.4096319158872701,-0.30070690124149035,-0.2174314297172069
gamma,Precipitation,Woodland hardwoods,0.03454655175868998,0.056639765753282965,0.08015624120754529
gamma,Temperature,Alder / maple,-17.418519798733044,0.006038792841656732,12.529917894594861
gamma,Temperature,Aspen / birch,6.204452088437577,9.283951342538487,12.06983711535699
gamma,Temperature,California mixed conifer,-26.60724444250654,-16.67821381255508,-7.150170270636744
gamma,Temperature,Douglas-fir,-8.20514427805041,-6.532313591906444,-4.997834760478269
gamma,Temperature,Elm / ash / cottonwood,8.846658846978075,16.435315971531267,27.181392478848082
gamma,Temperature,Fir / spruce / mountain hemlock,-17.79971937792668,-13.558831193810326,-9.46605241989071
gamma,Temperature,Hemlock / Sitka spruce,-21.15164341474533,-14.670409962968385,-8.162486500166406
gamma,Temperature,Loblolly / shortleaf pine,4.890054330354918,5.958963271124493,6.980038864932813
gamma,Temperature,Lodgepole pine,2.906854412236338,9.280779914450957,15.933754788873411
gamma,Temperature,Longleaf / slash pine,-7.296629795309391,-4.363312554501417,-0.881756068160409
gamma,Temperature,Maple / beech / birch,-6.61069288778462,-1.0702264154704495,5.333884881268686
gamma,Temperature,Oak / gum / cypress,-37.70853905924109,-20.840007783366392,-7.2296611074015384
gamma,Temperature,Oak / hickory,-1.789171632420476,-0.8910252041330844,-0.049072096842825735
gamma,Temperature,Oak / pine,-4.648534609597199,-1.7638345116901384,1.4849969916075363
gamma,Temperature,Pinyon / juniper,-12.385612626646678,-9.417161319142231,-6.662824052644471
gamma,Temperature,Ponderosa pine,-15.769695248223927,-11.384964197141125,-5.613613829664632
gamma,Temperature,Redwood,-23.96942342299585,16.67482946555357,86.19761428345588
gamma,Temperature,Spruce / fir,7.801638230639123,9.551428665524377,11.359375312258912
gamma,Temperature,Tanoak / laurel,-14.063511986044608,6.59413010003596,23.32433330912811
gamma,Temperature,Western larch,-63.00687051455068,-22.803196535944465,10.93329708438008
gamma,Temperature,Western oak,-14.762656210182815,0.4824705256145921,13.54472752798117
gamma,Temperature,White / red / jack pine,12.474023325145884,17.257639100655382,23.381986667904737
gamma,Temperature,Woodland hardwoods,2.3264127459160835,3.132840037064983,4.029371191351911
